Broad discipline,Blank,Admit GPA range (25th - 75th pctile),Admit rate,Enrollee GPA range (25th - 75th pctile),Yield rate,Admits,Applicants,Enrollees
Architecture,,4.14 - 4.28,0.071793127,4.11 - 4.27,0.483412322,211,2939,102
Arts & Humanities,,4.07 - 4.28,0.230122238,4.03 - 4.25,0.416179337,2052,8917,854
Business,,4.20 - 4.30,0.040525468,4.16 - 4.30,0.584097859,327,8069,191
Computer Science,,4.20 - 4.30,0.038327008,4.17 - 4.30,0.666019417,515,13437,343
Engineering,,4.21 - 4.30,0.077779305,4.19 - 4.30,0.533568905,1698,21831,906
Life Sciences,,4.16 - 4.29,0.176664702,4.10 - 4.28,0.421614410,2998,16970,1264
Other/Interdisciplinary,,4.15 - 4.29,0.117861837,4.11 - 4.27,0.410161090,807,6847,331
Physical Sciences/Math,,4.19 - 4.30,0.158527031,4.14 - 4.29,0.445908841,1821,11487,812
Public Admin,,4.11 - 4.26,0.126923077,4.06 - 4.25,0.393939394,33,260,13
Public Health,,4.14 - 4.30,0.022852930,4.11 - 4.30,0.258064516,62,2713,16
Social Sciences,,4.16 - 4.29,0.089445153,4.11 - 4.28,0.434343434,1683,18816,731
Undeclared,,4.11 - 4.29,0.119772499,4.04 - 4.26,0.495111732,1432,11956,709
